Date,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths
29/02/2020,1,1,0,0
03/03/2020,1,2,0,0
04/03/2020,4,6,0,0
05/03/2020,7,13,0,0
06/03/2020,5,18,0,0
07/03/2020,1,19,0,0
08/03/2020,2,21,0,0
09/03/2020,3,24,0,0
10/03/2020,10,34,0,0
11/03/2020,9,43,1,1
12/03/2020,27,70,0,1
13/03/2020,20,90,0,1
14/03/2020,39,129,1,2
15/03/2020,40,169,0,2
16/03/2020,54,223,0,2
17/03/2020,69,292,0,2
18/03/2020,74,366,0,2
19/03/2020,191,557,1,3
20/03/2020,126,683,0,3
21/03/2020,102,785,0,3
22/03/2020,121,906,1,4
23/03/2020,219,1125,2,6
24/03/2020,204,1329,1,7
25/03/2020,235,1564,2,9
26/03/2020,255,1819,10,19
27/03/2020,302,2121,3,22
28/03/2020,294,2415,14,36
29/03/2020,200,2615,10,46
30/03/2020,295,2910,8,54
31/03/2020,325,3235,17,71
01/04/2020,212,3447,14,85
02/04/2020,402,3849,13,98
03/04/2020,424,4273,22,120
04/04/2020,331,4604,17,137
05/04/2020,390,4994,21,158
06/04/2020,370,5364,16,174
07/04/2020,345,5709,36,210
08/04/2020,365,6074,25,235
09/04/2020,500,6574,28,263
10/04/2020,480,7054,25,287
11/04/2020,553,8928,33,320
12/04/2020,430,9655,14,334
13/04/2020,527,10647,31,365
14/04/2020,548,11479,41,406
15/04/2020,657,12547,38,444
16/04/2020,629,13271,43,486
17/04/2020,597,13980,44,530
18/04/2020,630,14758,41,571
19/04/2020,445,15251,39,610
20/04/2020,401,15652,77,687
21/04/2020,388,16040,44,730
22/04/2020,631,16671,49,769
23/04/2020,936,17607,28,794
24/04/2020,577,18184,37,1014
25/04/2020,377,18561,42,1063
26/04/2020,701,19262,26,1087
27/04/2020,386,19648,18,1102
28/04/2020,229,19877,59,1159
29/04/2020,376,20253,31,1190
30/04/2020,359,20612,43,1232
01/05/2020,221,20833,34,1265
02/05/2020,343,21176,25,1286
03/05/2020,330,21506,19,1303
04/05/2020,266,21772,16,1319
05/05/2020,211,21983,23,1339
06/05/2020,265,22248,37,1375
07/05/2020,137,22385,29,1403
08/05/2020,156,22541,27,1429
09/05/2020,219,22760,18,1446
10/05/2020,236,22996,12,1458
11/05/2020,139,23135,15,1467
12/05/2020,107,23242,24,1488
13/05/2020,159,23401,10,1497
14/05/2020,426,23827,10,1506
15/05/2020,129,23956,16,1518
16/05/2020,92,24048,15,1533
17/05/2020,64,24112,10,1543
18/05/2020,88,24200,4,1547
19/05/2020,51,24251,16,1561
20/05/2020,64,24315,11,1571
21/05/2020,76,24391,12,1583
22/05/2020,115,24506,11,1592
23/05/2020,76,24582,13,1604
24/05/2020,57,24639,4,1608
25/05/2020,59,24698,0,1606
26/05/2020,37,24735,9,1615
27/05/2020,73,24803,17,1631
28/05/2020,46,24841,9,1639
29/05/2020,39,24876,6,1645
30/05/2020,59,24929,9,1651
31/05/2020,66,24990,2,1652
01/06/2020,77,25062,1,1650
02/06/2020,10,25066,8,1658
03/06/2020,47,25111,3,1659
04/06/2020,38,25142,5,1664
05/06/2020,28,25163,7,1670
06/06/2020,24,25183,9,1678
07/06/2020,25,25201,1,1679
08/06/2020,9,25207,4,1683
09/06/2020,9,25215,9,1691
10/06/2020,19,25231,5,1695
11/06/2020,8,25238,8,1703
12/06/2020,13,25250,3,1705
13/06/2020,46,25295,5,1705
14/06/2020,8,25303,1,1706
15/06/2020,18,25321,0,1706
16/06/2020,14,25334,3,1709
17/06/2020,8,25341,3,1710
18/06/2020,16,25355,4,1714
19/06/2020,13,25368,2,1714
20/06/2020,22,25374,2,1715
21/06/2020,6,25379,0,1715
22/06/2020,4,25383,2,1717
23/06/2020,10,25391,3,1720
24/06/2020,5,25396,6,1726
25/06/2020,11,25405,1,1727
26/06/2020,11,25414,3,1730
27/06/2020,23,25437,6,1734
28/06/2020,1,25438,1,1735
29/06/2020,24,25462,0,1735
30/06/2020,11,25473,1,1736
01/07/2020,6,25477,3,1738
02/07/2020,15,25489,5,1738
03/07/2020,9,25498,2,1740
04/07/2020,11,25509,1,1741
05/07/2020,18,25527,0,1741
06/07/2020,4,25531,0,1741
07/07/2020,24,25538,1,1742
08/07/2020,11,25542,0,1738
09/07/2020,23,25565,6,1743
10/07/2020,25,25589,1,1744
11/07/2020,23,25611,2,1746
12/07/2020,17,25628,0,1746
13/07/2020,11,25638,0,1746
14/07/2020,32,25670,0,1746
15/07/2020,14,25683,2,1748
16/07/2020,21,25698,1,1749
17/07/2020,34,25730,3,1752
18/07/2020,21,25750,2,1753
19/07/2020,10,25760,0,1753
20/07/2020,6,25766,0,1753
21/07/2020,36,25802,0,1753
22/07/2020,17,25819,1,1754
23/07/2020,7,25826,9,1763
24/07/2020,20,25845,0,1763
25/07/2020,24,25869,1,1764
26/07/2020,12,25881,0,1764
27/07/2020,11,25892,0,1764
28/07/2020,40,25929,0,1764
29/07/2020,14,25942,0,1764
30/07/2020,85,26027,1,1763
31/07/2020,38,26065,0,1763
01/08/2020,45,26109,0,1763
02/08/2020,53,26162,0,1763
03/08/2020,46,26208,0,1763
04/08/2020,45,26253,0,1763
05/08/2020,50,26303,0,1763
06/08/2020,69,26372,5,1768
07/08/2020,98,26470,4,1772
08/08/2020,174,26644,1,1772
09/08/2020,68,26712,0,1772
10/08/2020,57,26768,0,1772
11/08/2020,35,26801,1,1773
12/08/2020,40,26838,1,1774
13/08/2020,92,26929,0,1774
14/08/2020,67,26995,0,1774
15/08/2020,200,27191,0,1774
16/08/2020,66,27257,0,1774
17/08/2020,56,27313,0,1774
18/08/2020,190,27499,1,1775
19/08/2020,54,27547,2,1775
20/08/2020,136,27676,1,1776
21/08/2020,79,27755,0,1776
22/08/2020,156,27908,2,1777
23/08/2020,61,27969,0,1777
24/08/2020,147,28116,0,1777
25/08/2020,92,28201,0,1777
26/08/2020,164,28363,0,1777
27/08/2020,93,28453,0,1777
28/08/2020,127,28578,0,1777
29/08/2020,142,28720,0,1777
30/08/2020,42,28760,0,1777
31/08/2020,53,28811,0,1777
01/09/2020,217,29025,0,1777
02/09/2020,89,29114,1,1777
03/09/2020,95,29206,0,1777
04/09/2020,98,29303,0,1777
05/09/2020,231,29534,0,1777
06/09/2020,138,29672,0,1777
07/09/2020,102,29774,0,1777
08/09/2020,307,30080,1,1778
09/09/2020,84,30164,3,1781
10/09/2020,196,30360,0,1781
11/09/2020,211,30571,1,1781
12/09/2020,159,30730,2,1783
13/09/2020,255,30985,1,1784
14/09/2020,208,31192,0,1784
15/09/2020,357,31549,3,1787
16/09/2020,254,31799,3,1788
17/09/2020,240,32023,1,1789
18/09/2020,253,32271,3,1792
19/09/2020,274,32538,0,1792
20/09/2020,396,32933,0,1792
21/09/2020,188,33121,0,1792
22/09/2020,334,33444,0,1792
23/09/2020,234,33675,2,1794
24/09/2020,324,33994,3,1797
25/09/2020,326,34315,0,1797
26/09/2020,248,34560,5,1802
27/09/2020,430,34990,0,1802
28/09/2020,390,35377,0,1802
29/09/2020,363,35740,1,1803
30/09/2020,429,36155,1,1804
01/10/2020,442,36597,4,1806
02/10/2020,470,37063,1,1801
03/10/2020,613,37668,10,1810
04/10/2020,364,38032,0,1810
05/10/2020,518,38549,0,1810
06/10/2020,432,38973,1,1811
07/10/2020,611,39584,5,1816
08/10/2020,506,40086,1,1817
09/10/2020,617,40703,5,1821
10/10/2020,1012,41714,3,1824
11/10/2020,814,42528,2,1826
12/10/2020,825,43351,1,1827
13/10/2020,811,44159,3,1830
14/10/2020,1095,45243,5,1835
15/10/2020,1205,46429,3,1838
16/10/2020,1000,47427,3,1841
17/10/2020,1276,48678,8,1849
18/10/2020,1283,49962,3,1852
19/10/2020,1031,50993,0,1852
