X,Y,Date,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths,StatisticsProfileDate,CovidCasesConfirmed,HospitalisedCovidCases,RequiringICUCovidCases,HealthcareWorkersCovidCases,ClustersNotified,HospitalisedAged5,HospitalisedAged5to14,HospitalisedAged15to24,HospitalisedAged25to34,HospitalisedAged35to44,HospitalisedAged45to54,HospitalisedAged55to64,HospitalisedAged65up,Male,Female,Unknown,Aged1to4,Aged5to14,Aged15to24,Aged25to34,Aged35to44,Aged45to54,Aged55to64,Aged65up,Median_Age,CommunityTransmission,CloseContact,TravelAbroad,FID
-856335.8696,7036492.396,2020/02/29 00:00:00+00,1,1,0,0,2020/02/27 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
-856335.8696,7036492.396,2020/03/03 00:00:00+00,1,2,0,0,2020/03/01 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
-856335.8696,7036492.396,2020/03/04 00:00:00+00,4,6,0,0,2020/03/02 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
-856335.8696,7036492.396,2020/03/05 00:00:00+00,7,13,0,0,2020/03/03 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
-856335.8696,7036492.396,2020/03/06 00:00:00+00,5,18,0,0,2020/03/04 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
-856335.8696,7036492.396,2020/03/07 00:00:00+00,1,19,0,0,2020/03/05 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
-856335.8696,7036492.396,2020/03/08 00:00:00+00,2,21,0,0,2020/03/06 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
-856335.8696,7036492.396,2020/03/09 00:00:00+00,3,24,0,0,2020/03/07 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
-856335.8696,7036492.396,2020/03/10 00:00:00+00,10,34,0,0,2020/03/08 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
-856335.8696,7036492.396,2020/03/11 00:00:00+00,9,43,1,1,2020/03/09 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
-856335.8696,7036492.396,2020/03/12 00:00:00+00,27,70,0,1,2020/03/10 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
-856335.8696,7036492.396,2020/03/13 00:00:00+00,20,90,0,1,2020/03/11 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
-856335.8696,7036492.396,2020/03/14 00:00:00+00,39,129,1,2,2020/03/12 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
-856335.8696,7036492.396,2020/03/15 00:00:00+00,40,169,0,2,2020/03/13 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
-856335.8696,7036492.396,2020/03/16 00:00:00+00,54,223,0,2,2020/03/14 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
