,Rank,County,Population
0,1,Dublin,1345402
1,2,Antrim,618108
2,3,Cork,542868
3,4,Down,531665
4,–,Fingal,296020
5,–,South Dublin,278767
6,5,Galway,258058
7,6,Londonderry,247132
8,7,Kildare,222504
9,–,Dún Laoghaire–Rathdown,218018
10,8,Meath,195044
11,9,Limerick,194899
12,10,Tyrone,179000
13,11,Armagh,174792
14,12,Tipperary,159553
15,13,Donegal,159192
16,14,Wexford,149722
17,15,Kerry,147707
18,16,Wicklow,142425
19,17,Mayo,130507
20,18,Louth,128884
21,19,Clare,118817
22,20,Waterford,116176
23,21,Kilkenny,99232
24,22,Westmeath,88770
25,23,Laois,84697
26,24,Offaly,77961
27,25,Cavan,76176
28,26,Sligo,65535
29,27,Roscommon,64544
30,28,Monaghan,61386
31,29,Fermanagh,61170
32,30,Carlow,56932
33,31,Longford,40873
34,32,Leitrim,32044
35,Total,Island of Ireland,6573732
36,,Average,205429
