Subject,Sex,Birth year,BirthQuartile_8,BirthQuartile,Youth Matches,Junior Matches,Senior Matches
1,F,1994,1,1,1,0,0
2,F,1992,2,2,1,0,0
3,F,1992,4,4,1,0,0
4,F,1987,5,1,1,0,0
5,F,1987,6,2,1,0,0
6,F,1995,6,2,1,0,0
7,F,1995,7,3,1,0,0
8,F,1995,7,3,1,0,0
9,F,1989,8,4,1,0,0
10,F,1994,1,1,2,0,0
11,F,1988,2,2,2,0,0
12,F,1988,2,2,2,0,0
13,F,1988,2,2,2,0,0
14,F,1992,2,2,2,0,0
15,F,1992,2,2,2,0,0
16,F,1998,2,2,2,0,0
17,F,1988,3,3,2,0,0
18,F,1992,3,3,2,0,0
19,F,1994,3,3,2,0,0
20,F,1998,3,3,2,0,0
21,F,1988,4,4,2,0,0
22,F,1988,4,4,2,0,0
23,F,1996,4,4,2,0,0
24,F,1987,5,1,2,0,0
25,F,1989,5,1,2,0,0
26,F,1993,5,1,2,0,0
27,F,1997,5,1,2,0,0
28,F,1991,6,2,2,0,0
29,F,1991,6,2,2,0,0
30,F,1987,7,3,2,0,0
31,F,1987,7,3,2,0,0
32,F,1988,1,1,3,0,0
33,F,1994,1,1,3,0,0
34,F,1996,1,1,3,0,0
35,F,1994,2,2,3,0,0
36,F,1996,2,2,3,0,0
37,F,1998,2,2,3,0,0
38,F,1994,3,3,3,0,0
39,F,1996,3,3,3,0,0
40,F,1998,3,3,3,0,0
41,F,1988,4,4,3,0,0
42,F,1996,4,4,3,0,0
43,F,1998,4,4,3,0,0
44,F,1987,5,1,3,0,0
45,F,1993,5,1,3,0,0
46,F,1995,6,2,3,0,0
47,F,1999,6,2,3,0,0
48,F,1987,7,3,3,0,0
49,F,1987,7,3,3,0,0
50,F,1993,7,3,3,0,0
51,F,1995,7,3,3,0,0
52,F,1987,8,4,3,0,0
53,F,1987,8,4,3,0,0
54,F,1987,8,4,3,0,0
55,F,1990,1,1,4,0,0
56,F,1996,2,2,4,0,0
57,F,1988,3,3,4,0,0
58,F,1990,4,4,4,0,0
59,F,1989,5,1,4,0,0
60,F,1990,4,4,5,0,0
61,F,1992,4,4,5,0,0
62,F,1994,4,4,5,0,0
63,F,1987,5,1,5,0,0
64,F,1995,5,1,5,0,0
65,F,1995,6,2,5,0,0
66,F,1987,8,4,5,0,0
67,F,1987,8,4,5,0,0
68,F,1987,8,4,5,0,0
69,F,1988,3,3,6,0,0
70,F,1996,3,3,6,0,0
71,F,1996,4,4,6,0,0
72,F,1994,2,2,7,0,0
73,F,1998,2,2,7,0,0
74,F,1994,3,3,7,0,0
75,F,1987,6,2,7,0,0
76,F,1990,1,1,8,0,0
77,F,1988,2,2,8,0,0
78,F,1994,2,2,8,0,0
79,F,1987,5,1,8,0,0
80,F,1995,5,1,8,0,0
81,F,1988,3,3,9,0,0
82,F,1994,3,3,9,0,0
83,F,1994,4,4,9,0,0
84,F,1989,5,1,9,0,0
85,F,1989,5,1,10,0,0
86,F,1996,2,2,11,0,0
87,F,1992,4,4,11,0,0
88,F,1995,5,1,11,0,0
89,F,1996,2,2,12,0,0
90,F,1998,3,3,12,0,0
91,F,1999,7,3,12,0,0
92,F,1992,3,3,13,0,0
93,F,1994,3,3,13,0,0
94,F,1998,3,3,13,0,0
95,F,1988,3,3,14,0,0
96,F,1996,1,1,15,0,0
97,F,1990,2,2,15,0,0
98,F,1994,3,3,16,0,0
99,F,1994,1,1,17,0,0
100,F,1990,2,2,18,0,0
101,F,1992,2,2,18,0,0
102,F,1988,4,4,20,0,0
103,F,1998,1,1,23,0,0
104,F,1996,2,2,23,0,0
105,F,1990,4,4,23,0,0
106,F,1998,4,4,25,0,0
107,F,1998,1,1,26,0,0
108,F,1998,1,1,27,0,0
109,F,1998,2,2,27,0,0
110,F,1994,2,2,28,0,0
111,F,1992,4,4,29,0,0
112,F,1993,5,1,32,0,0
113,F,1996,1,1,35,0,0
114,F,1992,4,4,35,0,0
115,F,1997,6,2,43,0,0
116,F,1994,1,1,0,2,0
117,F,1988,2,2,0,2,0
118,F,1992,4,4,0,2,0
119,F,1996,4,4,0,2,0
120,F,1993,6,2,0,2,0
121,F,1997,6,2,0,2,0
122,F,1999,6,2,0,2,0
123,F,1992,3,3,3,2,0
124,F,1992,2,2,4,2,0
125,F,1997,7,3,5,2,0
126,F,1999,5,1,36,2,0
127,F,1992,1,1,47,2,0
128,F,1998,3,3,48,2,0
129,F,1998,1,1,50,2,0
130,F,1994,3,3,0,3,0
131,F,1992,4,4,0,3,0
132,F,1995,5,1,0,3,0
133,F,1995,7,3,0,3,0
134,F,1993,8,4,2,3,0
135,F,1988,3,3,3,3,0
136,F,1995,8,4,8,3,0
137,F,1994,3,3,12,3,0
138,F,1986,4,4,15,3,0
139,F,1992,2,2,20,3,0
140,F,1996,4,4,25,3,0
141,F,1988,2,2,27,3,0
142,F,1992,1,1,40,3,0
143,F,1989,7,3,0,4,0
144,F,1988,2,2,6,4,0
145,F,1988,2,2,14,4,0
146,F,1999,6,2,20,4,0
147,F,1996,1,1,0,5,0
148,F,1996,1,1,0,5,0
149,F,1996,2,2,0,5,0
150,F,1996,2,2,0,5,0
151,F,1996,2,2,0,5,0
152,F,1997,5,1,0,5,0
153,F,1997,7,3,0,5,0
154,F,1997,7,3,0,5,0
155,F,1996,2,2,2,5,0
156,F,1997,7,3,2,5,0
157,F,1988,3,3,10,5,0
158,F,1996,2,2,12,5,0
159,F,1988,3,3,15,5,0
160,F,1997,5,1,30,5,0
161,F,1992,2,2,34,5,0
162,F,1988,2,2,0,6,0
163,F,1998,3,3,0,6,0
164,F,1989,5,1,0,6,0
165,F,1997,5,1,0,6,0
166,F,1989,6,2,0,6,0
167,F,1989,6,2,0,6,0
168,F,1991,8,4,18,6,0
169,F,1989,6,2,0,7,0
170,F,1993,8,4,0,7,0
171,F,1996,1,1,5,7,0
172,F,1989,5,1,18,7,0
173,F,1997,6,2,0,8,0
174,F,1989,6,2,13,9,0
175,F,1992,2,2,44,9,0
176,F,1989,5,1,0,10,0
177,F,1991,5,1,0,10,0
178,F,1993,6,2,0,10,0
179,F,1992,1,1,0,11,0
180,F,1993,6,2,15,11,0
181,F,1990,1,1,21,11,0
182,F,1992,1,1,0,12,0
183,F,1996,4,4,0,12,0
184,F,1995,5,1,0,12,0
185,F,1995,6,2,12,12,0
186,F,1998,1,1,14,12,0
187,F,1989,7,3,14,12,0
188,F,1997,6,2,18,12,0
189,F,1997,7,3,23,12,0
190,F,1987,5,1,8,13,0
191,F,1993,5,1,11,13,0
192,F,1995,7,3,25,13,0
193,F,1990,2,2,29,13,0
194,F,1994,3,3,32,13,0
195,F,1999,6,2,0,14,0
196,F,1993,8,4,0,14,0
197,F,1998,3,3,10,14,0
198,F,1998,3,3,11,14,0
199,F,1998,1,1,15,14,0
200,F,1998,1,1,29,14,0
201,F,1998,2,2,43,14,0
202,F,1998,2,2,44,14,0
203,F,1992,2,2,0,15,0
204,F,1996,2,2,0,15,0
205,F,1997,5,1,0,15,0
206,F,1998,1,1,17,15,0
207,F,1994,3,3,24,15,0
208,F,1997,5,1,26,15,0
209,F,1999,6,2,30,15,0
210,F,1997,7,3,36,15,0
211,F,1996,4,4,38,15,0
212,F,1998,2,2,46,15,0
213,F,1988,2,2,17,16,0
214,F,1996,2,2,17,16,0
215,F,1999,5,1,20,16,0
216,F,1999,6,2,28,16,0
217,F,1998,1,1,47,16,0
218,F,1998,3,3,49,16,0
219,F,1998,3,3,50,16,0
220,F,1996,3,3,6,17,0
221,F,1989,6,2,9,17,0
222,F,1992,2,2,33,17,0
223,F,1993,7,3,0,18,0
224,F,1988,1,1,33,18,0
225,F,1996,4,4,0,19,0
226,F,1988,2,2,18,19,0
227,F,1996,3,3,42,20,0
228,F,1989,6,2,0,21,0
229,F,1993,8,4,0,21,0
230,F,1995,5,1,21,21,0
231,F,1988,3,3,33,21,0
232,F,1988,3,3,37,26,0
233,F,1990,2,2,38,27,0
234,F,1997,7,3,0,30,0
235,F,1988,3,3,3,30,0
236,F,1990,1,1,30,30,0
237,F,1988,3,3,33,30,0
238,F,1996,2,2,0,32,0
239,F,1996,3,3,32,32,0
240,F,1996,3,3,34,32,0
241,F,1996,1,1,44,32,0
242,F,1993,8,4,0,33,0
243,F,1992,3,3,24,33,0
244,F,1994,1,1,38,34,0
245,F,1994,2,2,50,34,0
