Idx,Name,Date of Birth,Year,Month,Day,Quarter,Club,Country,(Millions of Euros)
1,LionelMessi,24/06/1987,1987,6,24,2,FCBarcelona,Argentina,120
2,CristianoRonaldo,05/02/1985,1985,2,5,1,RealMadrid,Portugal,100
3,GarethBale,16/07/1989,1989,7,16,3,RealMadrid,Wales,80
4,Falcao,10/02/1986,1986,2,10,1,ASMonaco,Colombia,60
5,EdinsonCavani,14/02/1987,1987,2,14,1,ParisSaint-Germain,Uruguay,60
6,Neymar,05/02/1992,1992,2,5,1,FCBarcelona,Brazil,60
7,AndrésIniesta,11/05/1984,1984,5,11,2,FCBarcelona,Spain,55
8,MarioGötze,03/06/1992,1992,6,3,2,FCBayernMunich,Germany,55
9,LuisSuárez,24/01/1987,1987,1,24,1,LiverpoolFC,Uruguay,52
10,CescFàbregas,04/05/1987,1987,5,4,2,FCBarcelona,Spain,50
11,MesutÖzil,15/10/1988,1988,10,15,4,ArsenalFC,Germany,50
12,RobertLewandowski,21/08/1988,1988,8,21,3,BorussiaDortmund,Poland,50
13,Hulk,25/07/1986,1986,7,25,3,ZenitSt.Petersburg,Brazil,48
14,WayneRooney,24/10/1985,1985,10,24,4,ManchesterUnited,England,45
15,KunAgüero,02/06/1988,1988,6,2,2,ManchesterCity,Argentina,45
16,EdenHazard,07/01/1991,1991,1,7,1,ChelseaFC,Belgium,45
17,ThomasMüller,13/09/1989,1989,9,13,3,FCBayernMunich,Germany,45
18,SergioBusquets,16/07/1988,1988,7,16,3,FCBarcelona,Spain,45
19,ArturoVidal,22/05/1987,1987,5,22,2,JuventusFC,Chile,44
20,FranckRibéry,07/04/1983,1983,4,7,2,FCBayernMunich,France,42
21,BastianSchweinsteiger,01/08/1984,1984,8,1,3,FCBayernMunich,Germany,40
22,RobinvanPersie,06/08/1983,1983,8,6,3,ManchesterUnited,Netherlands,40
23,SergioRamos,30/03/1986,1986,3,30,1,RealMadrid,Spain,40
24,LukaModric,09/09/1985,1985,9,9,3,RealMadrid,Croatia,40
25,ThiagoSilva,22/09/1984,1984,9,22,3,ParisSaint-Germain,Brazil,40
26,ToniKroos,04/01/1990,1990,1,4,1,FCBayernMunich,Germany,40
27,MarcoReus,31/05/1989,1989,5,31,2,BorussiaDortmund,Germany,40
28,DavidSilva,08/01/1986,1986,1,8,1,ManchesterCity,Spain,40
29,MarekHamsik,27/07/1987,1987,7,27,3,SSCNapoli,Slovakia,40
30,JuanMata,28/04/1988,1988,4,28,2,ManchesterUnited,Spain,40
